cmd,time,pwmL,pwmR,encL,encR
5,14612,0,0,0,0
5,14622,0,0,0,0
5,14632,0,0,0,0
5,14642,2,-2,0,0
5,14652,2,-2,0,0
5,14662,4,-4,0,0
5,14672,4,-4,0,0
5,14682,6,-6,0,0
5,14692,6,-6,0,0
5,14702,8,-8,0,0
5,14712,8,-8,0,0
5,14722,10,-10,0,0
5,14732,10,-10,0,0
5,14742,12,-12,0,0
5,14752,12,-12,0,0
5,14763,14,-14,0,0
5,14773,14,-14,0,0
5,14783,16,-16,0,0
5,14793,16,-16,0,0
5,14803,18,-18,0,0
5,14813,18,-18,0,-1
5,14823,20,-20,0,-1
5,14833,20,-20,0,-2
5,14843,22,-22,0,-2
5,14853,22,-22,0,-3
5,14863,24,-24,0,-4
5,14873,24,-24,0,-5
5,14883,24,-24,0,-6
5,14893,26,-26,0,-7
5,14903,26,-26,0,-8
5,14913,28,-28,0,-9
5,14923,28,-28,0,-10
5,14934,30,-30,0,-11
5,14944,30,-30,0,-11
5,14954,32,-32,0,-12
5,14964,32,-32,0,-13
5,14974,34,-34,0,-14
5,14984,34,-34,0,-15
5,14994,36,-36,0,-16
5,15004,36,-36,0,-17
5,15014,38,-38,0,-18
5,15024,38,-38,0,-19
5,15034,40,-40,1,-20
5,15044,40,-40,1,-21
5,15054,42,-42,1,-23
5,15064,42,-42,2,-24
5,15074,44,-44,2,-26
5,15084,44,-44,3,-27
5,15094,46,-46,3,-29
5,15104,46,-46,4,-31
5,15114,48,-48,4,-33
5,15124,48,-48,5,-35
5,15134,51,-51,5,-38
5,15144,51,-51,6,-41
5,15154,53,-53,7,-43
5,15164,53,-53,8,-46
5,15174,55,-55,10,-48
5,15184,55,-55,11,-51
5,15194,57,-57,12,-54
5,15204,57,-57,14,-57
5,15214,59,-59,16,-60
5,15224,59,-59,17,-63
5,15234,61,-61,19,-65
5,15244,61,-61,21,-69
5,15254,63,-63,22,-72
5,15264,63,-63,24,-75
5,15275,65,-65,26,-79
5,15285,65,-65,29,-82
5,15295,67,-67,31,-86
5,15305,67,-67,34,-90
5,15315,69,-69,36,-93
5,15325,69,-69,39,-95
5,15335,71,-71,41,-97
5,15345,71,-71,44,-100
5,15355,73,-73,47,-104
5,15365,73,-73,48,-105
5,15375,73,-73,52,-109
5,15385,75,-75,54,-113
5,15395,75,-75,57,-117
5,15405,77,-77,60,-120
5,15415,77,-77,63,-124
5,15425,79,-79,68,-127
5,15435,79,-79,71,-131
5,15446,81,-81,75,-134
5,15456,81,-81,79,-138
5,15466,83,-83,82,-142
5,15476,83,-83,87,-146
5,15486,85,-85,90,-151
5,15496,87,-87,94,-155
5,15506,87,-87,97,-159
5,15516,89,-89,100,-165
5,15526,89,-89,104,-169
5,15536,91,-91,108,-173
5,15546,91,-91,112,-178
5,15556,93,-93,116,-182
5,15566,93,-93,119,-187
5,15576,95,-95,123,-190
5,15586,95,-95,127,-195
5,15596,95,-95,132,-200
5,15606,97,-97,136,-204
5,15616,97,-97,142,-208
5,15626,100,-100,147,-214
5,15636,100,-100,152,-219
5,15646,100,-100,157,-223
5,15656,100,-100,164,-229
5,15666,100,-100,168,-233
5,15676,100,-100,174,-239
5,15686,100,-100,180,-244
5,15696,100,-100,186,-250
5,15706,100,-100,190,-254
5,15716,100,-100,195,-259
5,15726,100,-100,200,-264
5,15736,100,-100,206,-267
5,15746,100,-100,211,-271
5,15756,100,-100,216,-276
5,15766,99,-99,222,-278
5,15776,99,-99,229,-283
5,15787,99,-99,234,-288
5,15797,99,-99,239,-293
5,15807,99,-99,243,-298
5,15817,99,-99,249,-304
5,15827,99,-99,253,-310
5,15837,99,-99,258,-315
5,15847,99,-99,264,-319
5,15857,99,-99,269,-323
5,15867,99,-99,274,-329
5,15877,99,-99,279,-333
5,15887,99,-99,286,-338
5,15897,99,-99,291,-343
5,15907,99,-99,298,-347
5,15917,99,-99,304,-353
5,15927,99,-99,310,-358
5,15937,99,-99,316,-362
5,15947,99,-99,322,-367
5,15958,99,-99,327,-372
5,15968,99,-99,332,-377
5,15978,99,-99,337,-382
5,15988,99,-99,342,-387
5,15998,99,-99,347,-391
5,16008,99,-99,352,-395
5,16018,99,-99,357,-399
5,16028,99,-99,362,-404
5,16038,99,-99,367,-408
5,16048,99,-99,372,-410
5,16058,99,-99,378,-415
5,16068,99,-99,383,-419
5,16078,99,-99,388,-423
5,16088,99,-99,392,-427
5,16098,99,-99,397,-431
5,16108,99,-99,403,-434
5,16118,99,-99,410,-439
5,16128,99,-99,417,-443
5,16138,99,-99,422,-448
5,16148,99,-99,427,-453
5,16158,99,-99,431,-456
5,16168,99,-99,436,-460
5,16178,99,-99,442,-464
5,16188,99,-99,447,-468
5,16198,99,-99,452,-472
5,16208,99,-99,457,-479
5,16218,99,-99,461,-483
5,16228,99,-99,466,-488
5,16238,99,-99,471,-493
5,16248,99,-99,476,-496
5,16258,99,-99,482,-500
