cmd,time,pwmL,pwmR,encL,encR
5,919,0,0,0,0
5,929,0,0,0,0
5,939,0,0,0,0
5,949,5,5,0,0
5,959,5,5,0,0
5,969,10,10,0,0
5,979,10,10,0,0
5,989,15,15,0,0
5,999,15,15,0,0
5,1009,20,20,0,0
5,1019,20,20,0,0
5,1029,25,25,0,1
5,1039,25,25,1,1
5,1049,30,30,1,2
5,1059,30,30,2,3
5,1069,35,35,3,4
5,1079,35,35,4,6
5,1089,35,35,5,7
5,1099,40,40,7,9
5,1110,40,40,9,12
5,1120,45,45,10,14
5,1130,51,51,12,17
5,1140,51,51,15,20
5,1150,56,56,17,23
5,1160,56,56,20,26
5,1170,61,61,23,30
5,1180,61,61,26,34
5,1190,66,66,30,39
5,1200,66,66,33,43
5,1210,71,71,37,47
5,1220,71,71,41,52
5,1230,76,76,45,59
5,1240,76,76,49,63
5,1250,81,81,54,68
5,1260,81,81,58,74
5,1270,86,86,63,79
5,1280,86,86,68,84
5,1290,86,86,73,89
5,1300,91,91,78,95
5,1310,91,91,83,100
5,1320,96,96,88,106
5,1330,96,96,93,110
5,1340,102,102,98,116
5,1350,102,102,103,121
5,1360,107,107,108,127
5,1370,107,107,113,131
5,1380,112,112,117,136
5,1390,112,112,121,141
5,1400,117,117,125,145
5,1410,117,117,129,149
5,1420,122,122,133,154
5,1430,122,122,136,158
5,1440,130,130,140,162
5,1451,130,130,144,167
5,1461,135,135,148,171
5,1471,135,135,152,176
5,1481,140,140,156,181
5,1491,140,140,161,186
5,1501,145,145,166,191
5,1511,145,145,171,197
5,1521,150,150,176,202
5,1531,150,150,181,207
5,1541,155,155,186,212
5,1551,155,155,191,218
5,1561,160,160,197,224
5,1571,160,160,202,229
5,1581,165,165,207,234
5,1591,165,165,212,239
5,1601,170,170,217,244
5,1611,170,170,221,248
5,1622,175,175,226,253
5,1632,175,175,230,258
5,1642,181,181,234,262
5,1652,181,181,238,267
5,1662,186,186,242,272
5,1672,186,186,246,275
5,1682,191,191,250,279
5,1692,191,191,253,284
5,1702,196,196,258,288
5,1712,196,196,261,292
5,1722,201,201,265,296
5,1732,201,201,269,300
5,1742,206,206,272,304
5,1752,206,206,276,308
5,1762,211,211,280,313
5,1772,211,211,284,318
5,1782,216,216,288,322
5,1792,216,216,291,327
5,1802,221,221,295,331
5,1812,221,221,300,336
5,1822,226,226,304,341
5,1832,226,226,308,346
5,1842,232,232,313,351
5,1852,232,232,317,356
5,1862,232,232,322,362
5,1872,237,237,327,367
5,1882,237,237,331,372
5,1892,242,242,336,377
5,1902,242,242,341,383
5,1912,247,247,346,388
5,1922,247,247,351,393
5,1932,255,255,356,399
5,1942,255,255,362,404
5,1952,252,252,367,410
5,1963,252,252,373,416
5,1973,252,252,378,421
5,1983,252,252,384,427
5,1993,252,252,390,433
5,2003,252,252,395,438
5,2013,252,252,400,444
5,2023,252,252,406,450
5,2033,252,252,412,456
5,2043,252,252,418,462
5,2053,252,252,423,467
5,2063,252,252,429,472
5,2073,252,252,434,478
5,2083,252,252,440,483
5,2093,252,252,445,488
5,2103,252,252,451,492
5,2113,252,252,457,497
5,2123,252,252,463,501
5,2134,252,252,468,506
5,2144,252,252,474,509
5,2154,252,252,480,515
5,2164,252,252,486,520
5,2174,252,252,492,525
5,2184,252,252,497,530
5,2194,252,252,502,534
5,2204,252,252,508,537
5,2214,252,252,514,543
5,2224,252,252,519,548
5,2234,252,252,525,553
5,2244,252,252,530,558
5,2254,252,252,537,562
5,2264,252,252,542,567
5,2274,252,252,548,572
5,2284,252,252,553,576
5,2294,252,252,559,581
5,2304,252,252,565,584
5,2314,252,252,571,588
5,2324,252,252,577,594
5,2334,252,252,582,597
5,2344,252,252,588,599
5,2354,252,252,594,602
5,2364,252,252,600,606
5,2374,252,252,606,611
5,2384,252,252,612,614
5,2394,252,252,619,616
5,2404,252,252,625,619
5,2414,252,252,631,625
5,2424,252,252,637,630
5,2434,252,252,642,636
5,2444,252,252,648,640
5,2454,252,252,653,641
5,2464,252,252,660,645
5,2475,252,252,666,647
5,2485,252,252,672,651
5,2495,252,252,677,653
5,2505,252,252,684,654
5,2515,252,252,690,660
5,2525,252,252,695,663
5,2535,252,252,701,669
5,2545,252,252,707,671
5,2555,252,252,712,671
5,2565,252,252,717,676
5,2575,252,252,723,682
5,2585,252,252,729,686
5,2595,252,252,734,689
5,2605,252,252,740,693
5,2615,252,252,745,699
5,2625,252,252,751,705
5,2635,252,252,757,709
5,2646,252,252,762,713
5,2656,252,252,768,717
5,2666,252,252,774,723
5,2676,252,252,779,728
5,2686,252,252,785,732
5,2696,252,252,790,735
5,2706,249,249,796,738
5,2716,249,249,801,741
5,2726,249,249,807,746
5,2736,249,249,812,750
5,2746,249,249,818,756
5,2756,249,249,823,761
5,2766,249,249,829,762
5,2776,249,249,834,767
5,2786,249,249,840,769
5,2796,249,249,845,773
5,2806,249,249,852,776
5,2816,249,249,857,777
5,2826,249,249,864,782
5,2836,249,249,870,788
5,2846,249,249,876,793
5,2856,249,249,881,799
5,2866,249,249,887,801
5,2876,249,249,892,803
5,2886,247,247,898,809
5,2896,247,247,904,811
5,2906,247,247,909,816
5,2916,247,247,915,820
5,2926,247,247,921,824
5,2936,247,247,926,829
5,2946,247,247,931,834
5,2956,247,247,935,837
5,2966,247,247,941,842
5,2976,247,247,946,843
5,2987,247,247,953,847
5,2997,247,247,959,853
5,3007,244,244,964,856
5,3017,244,244,970,862
5,3027,244,244,976,866
5,3037,244,244,981,869
5,3047,244,244,985,872
5,3057,244,244,991,878
5,3067,244,244,996,882
5,3077,244,244,1001,885
5,3087,244,244,1007,890
5,3097,244,244,1012,896
5,3107,242,242,1018,901
5,3117,242,242,1023,906
5,3127,242,242,1028,912
5,3137,242,242,1034,916
5,3147,242,242,1039,922
5,3158,239,239,1045,928
5,3168,239,239,1050,931
5,3178,239,239,1056,937
5,3188,239,239,1061,943
5,3198,239,239,1067,946
5,3208,239,239,1072,948
5,3218,239,239,1077,951
5,3228,239,239,1083,956
5,3238,239,239,1089,961
5,3248,237,237,1094,966
5,3258,237,237,1099,972
5,3268,237,237,1105,978
5,3278,237,237,1111,979
5,3288,237,237,1116,984
5,3298,237,237,1121,990
5,3308,234,234,1127,996
5,3318,234,234,1132,1001
5,3328,234,234,1137,1005
5,3338,234,234,1143,1011
5,3348,232,232,1149,1017
5,3358,232,232,1154,1022
5,3368,232,232,1160,1028
5,3378,232,232,1165,1033
5,3388,232,232,1170,1039
5,3398,232,232,1176,1044
5,3408,229,229,1181,1050
5,3418,229,229,1186,1055
5,3428,229,229,1191,1060
5,3438,229,229,1197,1066
5,3448,226,226,1202,1072
5,3458,226,226,1207,1077
5,3468,226,226,1212,1082
5,3478,226,226,1217,1088
5,3488,224,224,1222,1093
5,3499,224,224,1228,1099
5,3509,224,224,1233,1105
5,3519,224,224,1238,1110
5,3529,221,221,1243,1116
5,3539,221,221,1248,1121
5,3549,221,221,1253,1126
5,3559,219,219,1258,1132
5,3569,219,219,1263,1138
5,3579,219,219,1268,1143
5,3589,219,219,1272,1148
5,3599,219,219,1277,1154
5,3609,216,216,1283,1159
5,3619,216,216,1288,1165
5,3629,214,214,1292,1169
